k_number,product_code,device_name,decision_date,document_type,download_status,fda_detail_url,next_action,status
K940015,MNR,"SNORING MICROPHONE, SM1",1995-01-11,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K940015,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K944611,MNR,MODEL# 7500 SURVEYOR,1995-04-21,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K944611,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K940013,MNR,"BODY POSITION INDICATOR, MODEL BPI1",1995-05-04,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K940013,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K950273,MNR,SLEEP TEST(TM),1995-09-19,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K950273,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K944524,MNR,SNAP TESTING DEVICE,1995-10-26,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K944524,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K002135,MNR,SLEEPSTRIP DISPOSABLE APNEA SCREENER,2000-12-06,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002135,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K000396,MNR,"APNOESCREEN PRO, ALPHA SCREEN PRO",2000-12-27,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000396,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K002095,MNR,SNAP MODEL 6,2001-03-02,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002095,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K010739,MNR,WATCH-PAT 100,2001-11-06,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010739,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K010156,MNR,SLEEP PAT 200 DEVICE,2002-06-19,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010156,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K002159,MNR,"SNORE SAT RECORDER, MODEL SS41",2002-06-28,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002159,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K041662,MNR,APNEA RISK EVALUATION SYSTEM (ARES),2004-10-14,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K041662,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K233501,MNR,LARGAN Health AI-Tech Sleep Apnea and Sleep Quality Examination System (ST-SLP03A),2024-07-26,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233501,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K860219,OLV,SASSSY SEMI AUTOMATIC SLEEP SCORING SYSTEM,1986-04-17,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K860219,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K854665,OLV,4312P POLYSOMNOGRAPH ELECTOENCIPHALOGRAPH,1986-06-05,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K854665,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K860458,OLV,ELECTROPHYSIOLOGICAL SYSTEM TO MONITOR SKIN TEMP.,1986-08-12,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K860458,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K922106,OLV,ALICE,1994-07-06,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K922106,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K000338,OLV,VITAPORT 3,2000-04-26,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K000338,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K001013,OLV,MONET ACQUISITION SYSTEM FOR EEG AND POLYSOMNOGRAPHY,2000-05-16,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K001013,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K003681,OLV,BIO-LOGIC SLEEPSCAN NETLINK,2000-12-21,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003681,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K003175,OLV,COMPUMEDICS SIESTA SYSTEM,2000-12-27,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K003175,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K011204,OLV,"NEUROFAX, MODELS EEG-1100A, EEG-9100A",2001-05-08,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011204,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K010460,OLV,LIFELINES TRACKIT,2001-05-14,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010460,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K010728,OLV,HARMONE-SCHWARZER EEG SYSTEM,2001-05-21,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K010728,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K862527,OLZ,SLEEP ANALYZING COMPUTER,1986-10-06,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K862527,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K871990,OLZ,MODEL MPA MULTI PARAMETER ANALYSIS MONITORING SYS.,1987-10-07,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K871990,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K890513,OLZ,SAC 747 AND SAC 847 (SLEEP ANALYZING COMPUTERS),1989-04-28,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K890513,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K891383,OLZ,MEDILOG 9200 EEG REPLAY/ANALYSIS SYSTEM,1989-06-01,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K891383,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K894155,OLZ,SLEEPSCAN,1990-01-26,Unspecified,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K894155,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K915856,OLZ,SENSORMEDICS 4000 SERIES SLEEP SYSTEM,1992-10-26,Summary,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K915856,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K961636,OLZ,MEDILOG VISION,1997-01-17,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K961636,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
K002622,OLZ,BIOSLEEP,2000-10-23,Statement,public_pdf_unavailable,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K002622,"Check alternate FDA URL, applicant availability, archive, then FOIA",open
